Date,High,Low,Open,Close,Volume,Adj Close
2017-01-02,36240,35880,35980,36100,4650600,7630.10791
2017-01-03,36620,36020,36280,36480,7357650,7710.425293
2017-01-04,36520,36100,36500,36160,7971750,7642.790527
2017-01-05,36060,35540,36060,35560,10967450,7515.973145
2017-01-06,36440,36040,36180,36200,8880950,7651.245117
2017-01-09,37500,36560,36600,37220,13194900,7866.832031
2017-01-10,37400,37080,37280,37240,9099800,7871.05957
2017-01-11,38560,37420,37520,38280,12018150,8090.874512
2017-01-12,38800,37980,38000,38800,11669150,8200.782227
2017-01-13,38320,37460,38100,37460,15954450,7917.558105
2017-01-16,37820,36320,36860,36660,16611500,7748.470215
2017-01-17,37460,36580,36580,36960,8150700,7811.878418
2017-01-18,37500,36620,37040,36940,8875400,7807.651367
2017-01-19,37920,37020,37720,37480,9418900,7921.786133
2017-01-20,37420,36880,37120,37200,9185000,7862.604004
2017-01-23,38060,37000,37200,38060,8810400,8044.374512
2017-01-24,38580,37880,38120,38160,11048750,8065.510742
2017-01-25,39400,38320,38340,39400,13433850,8327.597656
2017-01-26,40000,39420,39420,39900,15214500,8433.277344
2017-01-31,39900,39460,39900,39460,17992200,8340.279297
2017-02-01,39660,39040,39540,39120,14150400,8268.416992
2017-02-02,39660,39200,39600,39360,15029300,8319.143555
2017-02-03,39500,39180,39400,39460,10386350,8340.279297
2017-02-06,39660,39140,39580,39560,8860700,8361.416016
2017-02-07,39580,38760,39560,38820,14041800,8205.007813
2017-02-08,38780,38200,38740,38400,17092950,8116.237305
2017-02-09,38840,38220,38780,38400,13694150,8116.237305
2017-02-10,38760,38300,38400,38360,11020750,8107.782715
2017-02-13,38060,37720,37740,37960,11102050,8023.23877
2017-02-14,38260,37320,37960,37580,13124150,7942.922363
2017-02-15,37960,37080,37080,37720,14191550,7972.512207
2017-02-16,38360,37780,37800,38020,10226350,8035.92041
2017-02-17,38040,37280,37560,37860,15377450,8002.103027
2017-02-20,38780,38160,38220,38660,7485800,8171.19043
2017-02-21,39560,38420,38540,38940,10562600,8230.370117
2017-02-22,39340,38980,39000,39300,8539450,8306.460938
2017-02-23,39440,39020,39020,39180,10217300,8281.098633
2017-02-24,39100,38060,38960,38220,9296850,8078.191406
2017-02-27,38140,37700,38020,38060,9033700,8044.374512
2017-02-28,38760,37960,38060,38440,15088700,8124.691895
2017-03-02,39860,38420,38420,39720,21249800,8395.233398
2017-03-03,39720,39160,39340,39620,12708700,8374.09668
2017-03-06,40220,39220,39220,40080,12234850,8471.323242
2017-03-07,40320,39800,39800,40200,10553250,8496.686523
2017-03-08,40620,40140,40200,40200,12140950,8496.686523
2017-03-09,40300,40020,40200,40200,14372250,8496.686523
2017-03-10,40420,39860,39960,40180,10227800,8492.458008
2017-03-13,40980,40040,40040,40600,7424100,8581.230469
2017-03-14,41540,40500,40620,41360,11325050,8741.863281
2017-03-15,41440,40800,40800,41400,9587850,8750.318359
2017-03-16,42180,41540,41800,41840,9933150,8843.317383
2017-03-17,42500,41720,41800,42400,12602300,8961.678711
2017-03-20,42120,41740,42000,41900,10250050,8855.999023
2017-03-21,42680,41760,41780,42560,14220150,8995.496094
2017-03-22,42460,41580,41600,42460,16427250,8974.361328
2017-03-23,42360,41700,42200,41800,15397100,8834.862305
2017-03-24,41980,41080,41600,41500,12808150,8771.455078
2017-03-27,41880,41180,41200,41200,12177650,8708.045898
2017-03-28,41840,41380,41560,41480,8216250,8767.227539
2017-03-29,41960,41580,41740,41780,10093250,8830.635742
2017-03-30,42440,41880,41880,41980,8204000,10658.71289
2017-03-31,42020,41200,41820,41200,10500300,10460.6709
2017-04-03,41720,41300,41400,41440,9579400,10521.60742
2017-04-04,42180,41520,41600,42080,12255500,10684.10254
2017-04-05,42240,41700,41900,42140,10699700,10699.33789
2017-04-06,42080,41600,42000,41840,9683400,10623.16797
2017-04-07,41820,41160,41800,41600,10021000,10562.23047
2017-04-10,41940,41500,41940,41940,7141350,10648.55762
2017-04-11,41940,41580,41940,41600,7172900,10562.23047
2017-04-12,41940,41700,41860,41900,8274900,10638.40332
2017-04-13,42460,41660,41660,42420,9040800,10770.42969
2017-04-14,42260,41760,42160,42020,5462850,10668.86914
2017-04-17,42080,41520,42000,41560,5224750,10552.07422
2017-04-18,41820,41280,41680,41500,6860650,10536.8418
2017-04-19,41420,40900,41300,40900,11762900,10384.50195
2017-04-20,40800,40080,40580,40280,21148850,10227.08398
2017-04-21,41400,40480,40480,40760,15130500,10348.95605
2017-04-24,41260,40920,41260,41240,8990150,10470.82715
2017-04-25,42740,41320,41460,42700,19299600,10841.52051
2017-04-26,42800,42520,42700,42800,14794800,10866.91211
2017-04-27,44520,41960,42700,43840,23032250,11130.96875
2017-04-28,45800,44520,45780,44620,22685700,11329.00879
2017-05-02,45500,44760,45500,44900,14068300,11400.10156
2017-05-04,45700,44860,45700,45520,13690100,11557.51855
2017-05-08,47020,45340,45520,47020,19582550,11938.36914
2017-05-10,47220,45600,46160,45600,23410950,11577.83105
2017-05-11,46180,45220,45420,45500,21277850,11552.44336
2017-05-12,46160,45660,45760,45820,9422900,11633.6875
2017-05-15,46280,45620,45620,46100,8001400,11704.78125
2017-05-16,46800,46100,46660,46380,8803750,11775.87402
2017-05-17,46640,46100,46120,46340,7424450,11765.71582
2017-05-18,46000,45540,45740,45940,11160350,11664.1582
2017-05-19,45780,44720,45640,44720,15762350,11354.39941
2017-05-22,45380,44760,45040,45100,17643550,11450.87988
2017-05-23,45580,44900,45400,44920,12607050,11405.17871
2017-05-24,45300,44800,44860,44880,8675400,11395.02148
2017-05-25,45680,44800,45160,45680,13044800,11598.1416
2017-05-26,46460,45540,45600,46080,13613650,11699.7041
2017-05-29,46400,45380,46220,45620,8739550,11582.90918
2017-05-30,45660,44480,45520,44640,12433600,11334.08691
2017-05-31,45020,44400,44580,44700,18669100,11349.32031
2017-06-01,44900,44400,44860,44680,9753500,11344.24316
2017-06-02,45960,45000,45060,45960,12488750,11669.23535
2017-06-05,46360,45720,46040,45940,7599400,11664.1582
2017-06-07,46500,45240,46500,45300,13729400,11501.66113
2017-06-08,45580,45000,45000,45160,13978750,11466.11523
2017-06-09,46440,45600,45680,46100,11732850,11704.78125
2017-06-12,45600,45140,45420,45380,10954300,11521.97168
2017-06-13,45620,45140,45140,45400,8624900,11527.0498
2017-06-14,46060,45240,45800,45360,10166700,11516.89453
2017-06-15,45920,45180,45680,45680,9657000,11598.1416
2017-06-16,45940,45460,45500,45580,17403450,11572.75195
2017-06-19,46560,45560,45580,46560,11303900,11821.57324
2017-06-20,48140,47220,47240,48140,15045000,12222.73828
2017-06-21,48120,47480,47740,47480,9973650,12055.16016
2017-06-22,48080,47720,47960,47960,11455800,12177.03418
2017-06-23,47780,47420,47600,47620,9515100,12090.70703
2017-06-26,48360,47520,47520,48280,8552800,12258.2832
2017-06-27,48400,47900,48220,48300,9616750,12263.36133
2017-06-28,48000,47560,47600,47700,9572500,12111.02148
2017-06-29,48320,47940,48040,47940,8306550,14265.41309
2017-06-30,47620,47100,47500,47540,11877550,14146.38672
2017-07-03,47780,47120,47500,47220,6805550,14051.16309
2017-07-04,47400,46900,47160,47000,7961000,13985.69824
2017-07-05,47680,46780,46820,47580,10640250,14158.28906
2017-07-06,48100,47720,48000,48060,10923050,14301.12109
2017-07-07,48120,47620,47740,47860,8131900,14241.60742
2017-07-10,48900,48320,48500,48660,10792750,14479.66211
2017-07-11,49000,48280,48640,49000,9717800,14580.83594
2017-07-12,50000,48840,49000,49880,9486150,14842.69434
2017-07-13,50940,50040,50080,50560,16034150,15045.04199
2017-07-14,51080,50420,51000,50480,8239000,15021.2373
2017-07-17,51020,50520,50900,50640,8976100,15068.84668
2017-07-18,50880,50360,50420,50840,7084450,15128.36035
2017-07-19,50820,50000,50620,50740,11157500,15098.60254
2017-07-20,51320,50560,50760,51200,8367600,15235.48438
2017-07-21,51160,50520,50860,51080,8449050,15199.77734
2017-07-24,51000,50620,50700,50860,7099750,15134.31152
2017-07-25,50760,49940,50500,50000,10810600,14878.40332
2017-07-26,50020,49300,49600,49840,11224800,14830.79297
2017-07-27,50640,49560,50000,49800,11449500,14818.88965
2017-07-28,49800,47380,49800,47760,26168300,14211.85059
2017-07-31,48240,46920,47420,48200,12701400,14342.78125
2017-08-01,48840,47540,48000,48600,11369500,14461.80859
2017-08-02,49340,48600,49200,49000,7777450,14580.83594
2017-08-03,49000,47120,49000,47780,15540800,14217.80078
2017-08-04,48180,47500,48160,47700,8359200,14193.99609
2017-08-07,48080,47440,47500,47580,7218250,14158.28906
2017-08-08,48260,47480,47980,47720,7979600,14199.94629
2017-08-09,47400,46240,47400,46280,14555400,13771.4502
2017-08-10,46320,45460,46200,45900,22986150,13658.37402
2017-08-11,45300,44220,45120,44620,25407300,13277.48828
2017-08-14,45400,44720,45120,45000,19185600,13390.56152
2017-08-16,46380,46000,46220,46200,21913650,13747.64453
2017-08-17,47300,46740,46960,47040,12415850,13997.60156
2017-08-18,47240,46240,46760,46900,10477950,13955.94238
2017-08-21,47240,46580,47240,46840,5103450,13938.08789
2017-08-22,47160,46700,46820,47000,7381750,13985.69824
2017-08-23,47780,47180,47780,47480,9384700,14128.53223
2017-08-24,47660,47340,47520,47520,8657450,14140.43262
2017-08-25,47880,46720,47880,47020,11243550,13991.64941
2017-08-28,47240,45960,47020,46100,9962100,13717.88672
2017-08-29,46080,45160,45640,46080,12623650,13711.93652
2017-08-30,46400,45960,46380,46200,7513000,13747.64453
2017-08-31,46640,46000,46220,46320,11011700,13783.35156
2017-09-01,46640,46300,46460,46480,10641700,13830.96387
2017-09-04,46360,45500,45780,46040,7943500,13700.0332
2017-09-05,46900,45960,46240,46760,11716100,13914.28223
2017-09-06,47180,46700,46760,47000,10811050,13985.69824
2017-09-07,48220,47000,47000,48120,9676500,14318.97559
2017-09-08,49180,48580,48700,49080,10893000,14604.64063
2017-09-11,50180,49500,49700,49800,10374750,14818.88965
2017-09-12,50220,49140,50200,49600,12029750,14759.37695
2017-09-13,50400,49440,49820,49620,9357000,14765.32813
2017-09-14,50320,49760,50060,50300,14204750,14967.67383
2017-09-15,50560,49860,50300,50400,10757300,14997.43066
2017-09-18,52480,50520,50540,52480,11524950,15616.37305
2017-09-19,52640,51780,52500,52120,9850400,15509.24902
2017-09-20,52500,51840,52120,52220,9292750,15539.00488
2017-09-21,52960,52220,52220,52800,8839800,15711.59375
2017-09-25,53680,53000,53000,53620,9303100,15955.59766
2017-09-26,53620,53620,53620,53620,0,15955.59766
2017-09-27,52200,51500,52000,51680,10797000,15378.31738
2017-09-28,52460,51260,52260,51260,12025450,17643.07422
2017-09-29,51620,50840,51180,51280,12909400,17649.95703
2017-10-10,53640,52800,53360,52800,20519800,18173.12305
2017-10-11,54760,53340,53600,54640,13652150,18806.42969
2017-10-12,55160,54100,54840,54800,13890700,18861.5
2017-10-13,54840,53780,54540,54000,12601650,18586.15039
2017-10-16,54860,53760,53980,53920,9769950,18558.61523
2017-10-17,55380,54000,54020,54800,10607800,18861.5
2017-10-18,55240,54040,54820,54760,10110750,18847.73242
2017-10-19,54700,52980,54700,52980,12108700,18235.07813
2017-10-20,54100,52800,52800,53840,8027050,18531.08008
2017-10-23,54640,54000,54600,54300,8311050,18689.40625
2017-10-24,54780,54040,54700,54040,5806050,18599.91602
2017-10-25,54420,53700,54040,53900,5882850,18551.73047
2017-10-26,53900,52400,53720,52400,9776550,18035.44727
2017-10-27,53320,52140,52400,53080,7392500,18269.49805
2017-10-30,54320,53700,53780,54040,8196150,18599.91602
2017-10-31,55440,53500,54060,55080,13381550,18957.87109
2017-11-01,57500,56180,57500,57220,14510250,19694.43359
2017-11-02,57520,56760,57500,57060,10721050,19639.36523
2017-11-03,57140,55860,57060,56380,9935800,19405.31641
2017-11-06,56500,55340,56380,56380,9000950,19405.31641
2017-11-07,56920,55860,56380,56100,7464550,19308.94336
2017-11-08,57060,55860,56100,56760,8520200,19536.10742
2017-11-09,56920,55900,56920,56340,11994050,19391.54883
2017-11-10,56540,55780,55800,56400,6748800,19412.20117
2017-11-13,56800,56100,56400,56380,8806650,19405.31641
2017-11-14,56740,55920,56380,55920,6725000,19246.99023
2017-11-15,56320,55320,55920,55340,8816950,19047.36133
2017-11-17,56880,55820,56400,55820,10733150,19212.57227
2017-11-20,55980,55200,55900,55200,9472750,18999.17578
2017-11-21,55840,55280,55400,55280,10324700,19026.71094
2017-11-22,56200,55620,55980,55960,7952950,19260.75781
2017-11-24,55500,55180,55300,55460,4536200,19088.66211
