Date,Open,High,Low,Close,Volume
8-Apr-20,24.66,26.41,23.77,25.91,-
7-Apr-20,26.34,27.24,23.54,23.63,797710
6-Apr-20,26.09,28.24,25.28,26.08,752710
3-Apr-20,24.81,29.13,23.52,28.34,1010000
2-Apr-20,21.22,27.39,20.76,25.32,1100000
1-Apr-20,20.1,21.55,19.9,20.31,703290
31-Mar-20,20.23,21.89,20.01,20.48,660080
30-Mar-20,20.93,20.93,19.27,20.09,758710
27-Mar-20,23.29,23.44,20.88,21.51,603120
26-Mar-20,24.25,24.65,22.38,22.6,633880
25-Mar-20,24.37,25.24,22.91,24.49,618730
24-Mar-20,23.87,25.16,23.09,24.01,659700
23-Mar-20,22.52,24.07,20.8,23.36,852950
20-Mar-20,24.73,27.89,19.46,22.43,29760
19-Mar-20,22.3,27.71,21.36,25.22,136720
18-Mar-20,26.94,27.22,20.06,20.37,309480
17-Mar-20,28.69,30.3,26.63,26.95,545820
16-Mar-20,33.75,33.75,28.1,28.7,698830
13-Mar-20,30.77,33.87,30.33,31.73,743130
12-Mar-20,33.07,33.63,30.02,31.5,1030000
11-Mar-20,34.62,36.35,32.56,32.98,874650
10-Mar-20,30.37,35.02,30.2,34.36,1060000
9-Mar-20,32.87,34.88,27.34,31.13,1770000
6-Mar-20,46.09,46.38,41.05,41.28,1280000
5-Mar-20,47.13,47.57,45.65,45.9,704590
4-Mar-20,46.94,48.41,46.65,46.78,745860
3-Mar-20,47.72,48.66,46.47,47.18,1010000
2-Mar-20,43.7,47.56,43.32,46.75,949470
28-Feb-20,46.49,47.03,43.85,44.76,1100000
27-Feb-20,48.63,48.78,45.88,47.09,1010000
26-Feb-20,50.08,50.44,48.3,48.73,884480
25-Feb-20,51.37,52.02,49.69,49.9,764990
24-Feb-20,52.6,52.64,50.45,51.43,765520
21-Feb-20,53.74,53.86,52.55,53.38,707560
20-Feb-20,53.5,54.5,53.22,53.78,30670
19-Feb-20,52.12,53.66,51.93,53.29,113680
18-Feb-20,52.23,52.41,50.88,52.05,221770
17-Feb-20,52.34,52.59,52.05,52.2,-
16-Feb-20,52.45,52.63,52.34,52.36,-
14-Feb-20,51.51,52.34,51.32,52.05,607340
13-Feb-20,51.72,51.96,50.6,51.42,745400
12-Feb-20,49.96,51.73,49.95,51.17,795260
11-Feb-20,49.61,50.69,49.58,49.94,725730
10-Feb-20,50.12,50.49,49.42,49.57,715890
7-Feb-20,51.11,51.48,50.09,50.32,768350
6-Feb-20,51.17,52.2,50.24,50.95,750660
5-Feb-20,49.51,51.88,49.47,50.75,887950
4-Feb-20,49.94,51.55,49.31,49.61,859360
3-Feb-20,51.01,51.97,49.8,50.11,876040
31-Jan-20,52.92,53.36,50.97,51.56,827910
30-Jan-20,53.09,53.2,51.66,52.14,720120
29-Jan-20,53.97,54.37,52.81,53.33,624980
28-Jan-20,52.77,54.06,52.68,53.48,633960
27-Jan-20,53.7,53.71,52.13,53.14,712880
24-Jan-20,55.69,55.95,53.85,54.19,586200
23-Jan-20,56.11,56.27,54.77,55.59,704000
22-Jan-20,58.26,58.38,56.03,56.74,620120
21-Jan-20,59.17,59.73,57.68,58.34,50180
20-Jan-20,59.28,59.32,58.56,58.73,-
19-Jan-20,59.36,59.66,59.2,59.27,-
17-Jan-20,58.59,58.98,58.27,58.54,122560
16-Jan-20,58.1,58.87,57.56,58.52,182870
15-Jan-20,58.2,58.36,57.36,57.81,433170
14-Jan-20,58.03,58.72,57.72,58.23,507710
13-Jan-20,59.04,59.27,57.91,58.08,584000
10-Jan-20,59.61,59.78,58.85,59.04,596190
9-Jan-20,59.99,60.31,58.66,59.56,750930
8-Jan-20,62.84,65.65,59.15,59.61,1210000
7-Jan-20,62.91,63.15,62.11,62.7,582650
6-Jan-20,63.71,64.72,62.64,63.27,724240
3-Jan-20,61.18,64.09,61.13,63.05,885860
2-Jan-20,61.6,61.6,60.64,61.18,486870
1-Jan-20,61.52,61.54,61.33,61.33,-
31-Dec-19,61.68,61.88,60.63,61.06,494540
30-Dec-19,61.71,62.34,61.09,61.68,427150
27-Dec-19,61.73,61.97,61.24,61.72,351900
26-Dec-19,61.2,61.83,61.06,61.68,265090
25-Dec-19,61.45,61.52,61.17,61.19,-
24-Dec-19,60.63,61.16,60.47,61.11,204540
23-Dec-19,60.41,60.77,60.1,60.52,314710
20-Dec-19,61.11,61.2,60.02,60.44,552520
19-Dec-19,60.86,61.47,60.79,61.22,35460
18-Dec-19,60.55,61.18,60.32,60.93,131070
17-Dec-19,60.23,61.06,60.03,60.94,163740
16-Dec-19,59.87,60.34,59.71,60.21,347400
13-Dec-19,59.36,60.48,59.27,60.07,512290
12-Dec-19,58.88,59.72,58.75,59.18,530850
11-Dec-19,59.06,59.22,58.11,58.76,589650
10-Dec-19,58.92,59.52,58.52,59.24,566820
9-Dec-19,59.11,59.25,58.23,59.02,511560
6-Dec-19,58.32,59.85,57.7,59.2,679610
5-Dec-19,58.36,59.12,58.1,58.43,649460
4-Dec-19,56.43,58.66,56.28,58.43,760540
3-Dec-19,55.96,56.8,55.35,56.1,560550
2-Dec-19,55.47,56.67,55.42,55.96,616420
29-Nov-19,58.13,58.3,55.02,55.17,718720
28-Nov-19,57.97,58.29,57.64,58.08,-
27-Nov-19,58.27,58.68,57.51,58.11,454260
26-Nov-19,57.92,58.56,57.76,58.41,443820
25-Nov-19,57.92,58.15,57.21,58.01,420640
22-Nov-19,58.31,58.74,57.5,57.77,508240
21-Nov-19,57,58.67,56.6,58.58,593530
20-Nov-19,55.16,57.25,54.76,57.11,31920
19-Nov-19,56.9,57.11,55.04,55.21,121210
18-Nov-19,57.88,58.09,56.55,57.05,159330
15-Nov-19,56.91,57.97,56.43,57.72,375990
