Date,Open,High,Low,Close,Volume
8-Apr-20,155.63,155.9,154.61,154.65,7560000
7-Apr-20,155.33,156.14,154.38,156.04,9100000
6-Apr-20,154.16,157.22,153.96,156.88,14570000
3-Apr-20,152.23,153.09,151.66,152.65,8470000
2-Apr-20,151.2,152.5,150.7,151.9,9030000
1-Apr-20,148.2,150.08,147.85,149.45,11580000
31-Mar-20,151.36,151.8,147.97,148.05,13230000
30-Mar-20,152.41,153.08,151.57,152.92,12040000
27-Mar-20,153,153.55,152,152.25,9820000
26-Mar-20,153.31,154.81,152.08,153.24,12320000
25-Mar-20,152.58,152.88,151.01,151.3,16120000
24-Mar-20,153.5,155.66,152.05,153.4,20560000
23-Mar-20,142.68,146.93,142.28,146.3,28120000
20-Mar-20,140.71,141.17,139.14,140.11,20060000
19-Mar-20,139.08,140.5,137.85,138.04,20640000
18-Mar-20,141.75,142.88,138.5,140.7,21870000
17-Mar-20,140.18,146.2,139.93,143.56,24490000
16-Mar-20,137.56,142.96,136.12,141.64,24500000
13-Mar-20,149.42,149.6,141.58,143.28,35180000
12-Mar-20,151.53,151.55,146.85,147.79,32890000
11-Mar-20,156.25,156.5,153.61,153.93,18350000
10-Mar-20,156.18,156.41,154.39,154.48,18810000
9-Mar-20,158.6,159.37,156.33,157.81,24870000
6-Mar-20,158.33,159.25,154.54,157.55,26970000
5-Mar-20,156.06,157.62,155.72,157.49,17970000
4-Mar-20,154.4,154.96,153.7,154.16,12320000
3-Mar-20,150.84,155.24,150.74,153.89,28690000
2-Mar-20,150,150.73,149.04,149.2,16300000
28-Feb-20,152.71,152.77,147.05,148.38,42710000
27-Feb-20,155.58,156.27,153.9,154,27880000
26-Feb-20,153.82,155.28,152.9,153.97,17980000
25-Feb-20,155.12,156.08,152.91,153.3,28090000
24-Feb-20,158.5,158.53,155.36,156.09,27170000
21-Feb-20,154.43,155.22,154.18,154.7,16350000
20-Feb-20,152,152.83,151.95,152.41,8460000
19-Feb-20,151,151.82,150.81,151.79,9270000
18-Feb-20,149.88,151.09,149.47,150.91,11530000
14-Feb-20,148.74,149.13,148.63,149,5350000
13-Feb-20,148.24,148.58,147.95,148.38,7080000
12-Feb-20,147.42,147.81,147.16,147.54,5040000
11-Feb-20,148.03,148.16,147.01,147.66,5180000
10-Feb-20,148.21,148.45,147.91,148.17,5790000
7-Feb-20,147.83,148.18,147.34,147.79,6380000
6-Feb-20,147.28,147.63,147,147.4,4820000
5-Feb-20,146.38,146.81,146.16,146.61,6160000
4-Feb-20,146.97,147.03,145.8,146.43,10530000
3-Feb-20,148.66,148.78,147.68,148.36,9120000
31-Jan-20,148.88,149.68,148.81,149.33,14790000
30-Jan-20,148.69,149.31,148.01,148.47,9120000
29-Jan-20,147.7,148.56,147.61,148.46,5020000
28-Jan-20,148.36,148.56,147.53,147.66,7540000
27-Jan-20,149.24,149.32,148.46,148.99,9990000
24-Jan-20,146.9,148.38,146.89,147.98,9920000
23-Jan-20,147,147.62,146.62,147.12,8420000
22-Jan-20,146.68,146.81,146.38,146.79,4780000
21-Jan-20,145.77,146.86,145.55,146.74,6090000
17-Jan-20,146.51,146.99,146.31,146.58,11120000
16-Jan-20,146.27,146.47,145.75,146.31,6070000
15-Jan-20,146.21,146.73,145.82,146.54,6510000
14-Jan-20,145.42,145.81,145.08,145.69,6610000
13-Jan-20,146.35,146.38,145.78,145.82,7600000
10-Jan-20,146.22,146.99,146.17,146.91,6180000
9-Jan-20,146.07,146.41,145.44,146.03,10300000
8-Jan-20,148.49,148.61,146.14,146.86,22280000
7-Jan-20,147.57,148.14,147.43,147.97,8400000
6-Jan-20,148.44,148.48,146.95,147.39,14410000
3-Jan-20,145.75,146.32,145.4,145.86,12290000
2-Jan-20,143.86,144.21,143.4,143.95,7740000
31-Dec-19,143.31,143.6,142.8,142.9,5310000
30-Dec-19,142.56,142.8,142.46,142.63,4810000
27-Dec-19,142.26,142.73,142.17,142.33,5120000
26-Dec-19,142.06,142.47,141.91,142.38,8340000
24-Dec-19,140.44,141.33,140.43,141.27,5300000
23-Dec-19,139.53,139.96,139.53,139.95,5180000
20-Dec-19,139.37,139.52,138.98,139.52,4480000
19-Dec-19,139.04,139.55,138.87,139.38,4980000
18-Dec-19,138.86,139.25,138.81,139.02,3610000
17-Dec-19,139.02,139.3,138.85,139.01,4290000
16-Dec-19,139.2,139.39,138.8,139.04,4650000
13-Dec-19,138.52,139.21,137.98,139.05,6980000
12-Dec-19,139.78,139.85,137.88,138.43,8820000
11-Dec-19,138.2,139.3,138.12,138.92,6120000
10-Dec-19,138.25,138.33,137.74,137.97,3240000
9-Dec-19,137.8,137.81,137.45,137.58,2810000
6-Dec-19,137.76,137.83,137.4,137.62,8750000
5-Dec-19,138.8,139.45,138.79,139,5670000
4-Dec-19,139.16,139.16,138.59,138.92,6330000
3-Dec-19,139.04,139.57,138.97,139.11,8500000
2-Dec-19,137.32,138.09,137.3,137.79,8280000
29-Nov-19,137.1,138.13,137.08,137.86,4520000
27-Nov-19,137.03,137.21,136.83,137.01,4110000
26-Nov-19,136.98,137.8,136.58,137.74,4730000
25-Nov-19,137.32,137.62,136.99,137.08,6420000
22-Nov-19,138.37,138.46,137.66,137.74,3620000
21-Nov-19,138.39,138.56,137.77,138,4200000
20-Nov-19,138.53,139,138.1,138.76,6890000
19-Nov-19,138.13,138.97,138.13,138.69,4830000
18-Nov-19,138.44,138.85,138.3,138.62,5720000
15-Nov-19,138.03,138.42,137.97,138.21,10110000
14-Nov-19,138.39,138.94,137.87,138.56,5220000
13-Nov-19,137.8,138.22,137.64,137.98,8810000
12-Nov-19,137.03,137.59,136.19,137.43,6450000
11-Nov-19,137.61,137.79,136.44,137.06,7040000
8-Nov-19,137.73,138.33,137.39,137.39,10380000
7-Nov-19,140.11,140.2,137.6,138.27,15210000
6-Nov-19,140.12,140.79,140,140.45,6420000
5-Nov-19,140.65,140.89,139.38,139.85,11780000
4-Nov-19,142.26,142.45,141.74,142.15,4740000
1-Nov-19,142.21,142.9,142.01,142.56,8090000
31-Oct-19,141.98,142.69,141.89,142.43,7050000
30-Oct-19,140.54,141.04,139.55,141.02,6990000
29-Oct-19,140,140.63,139.78,140.25,3840000
28-Oct-19,141.25,141.25,140.4,140.64,5440000
25-Oct-19,142.79,142.83,141.4,141.86,6010000
24-Oct-19,141.02,141.74,140.93,141.53,6280000
23-Oct-19,140.59,141,140.5,140.53,4160000
22-Oct-19,140.13,140.3,139.72,140.2,3890000
21-Oct-19,140.72,140.76,139.6,139.79,8310000
18-Oct-19,140.5,140.71,140.32,140.46,6420000
17-Oct-19,140.5,141.12,140.42,140.61,6220000
16-Oct-19,140.14,140.53,139.7,140.41,10360000
15-Oct-19,140.27,140.3,139.21,139.61,9130000
14-Oct-19,140.45,140.82,140.34,140.59,4010000
11-Oct-19,139.97,140.19,138.91,140.03,11430000
10-Oct-19,141.59,141.66,140.58,140.81,9330000
9-Oct-19,142.16,142.58,141.62,142.05,7050000
8-Oct-19,142.03,142.29,141.17,141.92,10490000
7-Oct-19,141.16,141.77,140.24,140.69,6160000
4-Oct-19,141.48,142.31,141.14,141.9,9690000
3-Oct-19,141.36,143.25,141.29,141.9,12410000
2-Oct-19,140.79,141.88,140.46,141.26,11940000
1-Oct-19,138.07,140.19,137.8,139.63,12500000
30-Sep-19,139.77,140.21,138.03,138.87,15530000
27-Sep-19,140.35,141.68,140.16,141.06,9670000
26-Sep-19,142.19,142.57,141.56,141.79,8800000
25-Sep-19,144.08,144.29,141.44,141.83,12000000
24-Sep-19,143.21,144.77,142.88,144.51,10620000
23-Sep-19,143.22,143.94,143.07,143.75,9040000
20-Sep-19,141.61,143.03,141.46,142.95,12280000
19-Sep-19,141.57,141.74,141.09,141.28,8060000
18-Sep-19,141.93,142.53,139.81,140.71,15070000
17-Sep-19,141.82,142.11,141.22,141.6,7050000
16-Sep-19,141.6,142.05,141.02,141.32,8090000
13-Sep-19,141.73,141.99,140.06,140.15,13450000
12-Sep-19,142.68,143.1,141.11,141.32,12670000
11-Sep-19,140.34,141.26,140.28,141.03,7450000
10-Sep-19,141.23,141.53,140.16,140.18,12630000
9-Sep-19,142.37,142.46,141.18,141.39,11320000
6-Sep-19,143.64,144.06,141.86,141.92,14180000
5-Sep-19,144.98,145.01,142,143.14,20300000
4-Sep-19,145.54,146.82,145.5,146.66,11290000
3-Sep-19,144.96,146.13,144.74,145.75,15620000
30-Aug-19,143.84,144.88,143.02,143.75,9640000
29-Aug-19,145.4,145.49,143.28,144.12,14760000
28-Aug-19,145.39,145.68,144.64,145.16,11450000
27-Aug-19,144.3,145.68,144.27,145.57,12860000
26-Aug-19,144.35,144.97,143.91,144.19,12200000
23-Aug-19,141.84,144.33,141.64,144.17,20290000
22-Aug-19,141.39,141.9,141.17,141.4,6850000
21-Aug-19,141.62,142.17,141.46,141.76,8120000
20-Aug-19,141.77,142.25,141.6,142.21,7480000
19-Aug-19,141.33,141.79,140.85,141.11,10560000
16-Aug-19,142.75,143.13,141.8,142.78,12180000
15-Aug-19,142.96,144.02,142.61,143.7,13500000
14-Aug-19,142.9,143.75,142.05,142.75,20670000
13-Aug-19,143.17,143.28,139.35,141.78,29930000
12-Aug-19,141.67,143.38,141.64,142.63,15260000
9-Aug-19,141.28,142.03,140.96,141.26,9490000
8-Aug-19,140.9,142.37,140.71,141.73,13110000
7-Aug-19,141.28,142.47,140.88,141.02,26670000
6-Aug-19,138.33,139.03,138,138.91,9470000
5-Aug-19,137.93,138.64,137.05,137.79,17520000
2-Aug-19,135.39,136.6,135.37,135.89,13750000
1-Aug-19,132.42,136.43,132.31,136.41,27720000
31-Jul-19,135.03,135.42,133.02,133.21,18800000
30-Jul-19,134.76,135.18,134.41,134.98,9460000
29-Jul-19,134.06,134.73,133.44,134.53,9160000
26-Jul-19,134.24,134.29,133.59,133.64,6250000
25-Jul-19,134.24,134.28,133.09,133.42,11710000
24-Jul-19,134.59,134.84,133.98,134.37,6720000
23-Jul-19,134.43,134.95,133.56,133.69,9980000
22-Jul-19,134.56,134.82,134.32,134.45,7570000
19-Jul-19,135.45,136.03,133.97,134.47,18080000
18-Jul-19,133.83,136.63,133.61,136.48,18470000
17-Jul-19,133,134.6,132.89,134.58,11290000
16-Jul-19,133.18,133.3,132.13,132.4,7970000
15-Jul-19,133.18,133.53,132.81,133.53,4030000
12-Jul-19,132.89,133.69,132.53,133.53,6310000
11-Jul-19,133.58,133.7,132.41,132.7,7540000
10-Jul-19,132.94,133.87,132.35,133.83,13920000
9-Jul-19,131.43,132.1,131.16,131.75,6630000
8-Jul-19,132.18,132.34,131.28,131.29,8030000
5-Jul-19,131.46,132.32,130.81,132.14,11540000
3-Jul-19,133.61,134.1,133.23,133.63,6350000
2-Jul-19,131.27,133.63,131.16,133.41,13280000
1-Jul-19,131.56,131.75,130.55,130.62,13370000
28-Jun-19,133.05,133.34,132.61,133.2,8080000
27-Jun-19,132.38,132.97,132.26,132.84,8410000
26-Jun-19,132.99,133.55,132.41,132.97,12020000
25-Jun-19,134.9,135.55,133.21,134.2,24770000
24-Jun-19,132.77,134.03,132.58,133.94,17850000
21-Jun-19,131.77,132.17,131.07,131.98,15070000
20-Jun-19,130.41,131.49,130.19,131.11,18640000
19-Jun-19,126.77,127.99,126.7,127.89,11660000
18-Jun-19,127.58,127.75,126.39,127.12,10310000
17-Jun-19,126.7,126.77,126.17,126.48,4760000
14-Jun-19,127.21,127.63,126.26,126.56,9230000
13-Jun-19,126.03,126.77,125.96,126.6,5370000
12-Jun-19,125.6,126.2,125.56,125.83,5760000
11-Jun-19,124.94,125.4,124.88,125.18,4760000
10-Jun-19,125.46,125.53,125.06,125.33,5410000
7-Jun-19,126.79,127.25,126.32,126.59,8150000
6-Jun-19,125.93,126.45,125.8,125.88,5550000
5-Jun-19,126.18,126.37,125.24,125.47,7640000
4-Jun-19,124.88,125.42,124.61,125.15,8000000
3-Jun-19,124.09,125.34,123.9,125.11,14170000
31-May-19,122.55,123.4,122.31,123.33,15370000
30-May-19,120.96,121.69,120.8,121.69,7760000
29-May-19,121.11,121.26,120.75,120.87,4130000
28-May-19,120.8,120.84,120.46,120.83,4300000
24-May-19,121.13,121.31,120.89,121.3,2320000
23-May-19,120.82,121.52,120.77,121.17,6050000
22-May-19,120.35,120.5,120.19,120.24,3740000
21-May-19,120.08,120.36,119.83,120.36,3850000
20-May-19,120.51,120.74,120.42,120.64,4350000
17-May-19,121.03,121.06,120.33,120.65,6590000
16-May-19,122.03,122.07,121.19,121.51,6350000
15-May-19,122.71,122.77,122.22,122.39,10300000
14-May-19,122.6,122.66,122.12,122.46,5560000
13-May-19,122.63,122.85,122.33,122.67,11130000
10-May-19,121.41,121.73,121.3,121.43,4590000
9-May-19,120.96,121.62,120.86,121.2,5020000
8-May-19,121.54,121.54,120.77,120.91,4180000
7-May-19,121.02,121.42,120.91,121.21,4010000
6-May-19,120.61,121.12,120.54,120.81,3480000
3-May-19,120.56,121.08,120.47,120.65,8410000
2-May-19,119.69,120.11,119.54,119.94,6760000
1-May-19,121.03,121.55,120.18,120.4,12330000
30-Apr-19,120.89,121.36,120.85,121.2,4760000
29-Apr-19,120.88,120.91,120.67,120.83,4470000
26-Apr-19,121.26,121.67,121.22,121.37,6020000
25-Apr-19,120.72,121.1,120.5,120.57,4840000
24-Apr-19,120.06,120.72,120.04,120.47,4170000
23-Apr-19,119.67,120.2,119.55,120.12,5570000
22-Apr-19,120.46,120.5,120.27,120.37,2250000
18-Apr-19,120.24,120.54,120.15,120.37,4090000
17-Apr-19,120.46,120.51,120.19,120.28,4690000
16-Apr-19,120.38,120.63,120.19,120.51,10100000
15-Apr-19,121.2,121.82,121.09,121.6,4250000
12-Apr-19,121.96,122.31,121.8,121.83,5270000
11-Apr-19,122.54,122.75,121.79,121.95,11690000
10-Apr-19,123.22,123.77,123.19,123.53,6340000
9-Apr-19,123.26,123.35,123.03,123.15,4650000
8-Apr-19,122.97,123.02,122.4,122.51,4270000
5-Apr-19,121.88,122.13,121.66,121.98,5110000
4-Apr-19,121.1,122.24,120.96,122.11,7510000
3-Apr-19,121.73,122.01,121.67,121.8,6150000
2-Apr-19,121.72,122.01,121.68,121.98,4470000
1-Apr-19,122.4,122.43,121.46,121.53,13560000
29-Mar-19,122.64,122.75,122.01,122.01,7090000
28-Mar-19,122.28,122.36,121.7,121.9,11880000
27-Mar-19,124.35,124.38,123.56,123.65,6600000
26-Mar-19,124.48,124.51,124.07,124.3,5060000
25-Mar-19,124.56,125.11,124.48,124.92,7290000
22-Mar-19,123.93,124.22,123.73,123.97,5870000
21-Mar-19,124.36,124.37,123.11,123.68,7740000
20-Mar-19,123.66,124.42,122.65,124.18,11300000
19-Mar-19,123.72,123.79,123.34,123.38,6560000
18-Mar-19,123.3,123.4,122.89,123.04,7780000
15-Mar-19,123.06,123.4,122.91,122.97,9410000
14-Mar-19,122.33,122.55,122.12,122.41,6780000
13-Mar-19,123.56,123.88,123.42,123.84,7380000
12-Mar-19,122.54,123.03,122.4,122.98,6290000
11-Mar-19,122.52,122.54,121.92,122.24,6710000
8-Mar-19,122.7,122.89,122.37,122.84,10430000
7-Mar-19,121.27,121.71,121.18,121.51,6090000
6-Mar-19,121.43,121.64,121.26,121.61,4820000
5-Mar-19,121.38,121.73,121.03,121.72,7120000
4-Mar-19,121.56,121.85,121.18,121.56,10270000
1-Mar-19,123.48,123.96,121.87,121.88,16410000
28-Feb-19,124.71,124.71,123.98,123.99,7810000
27-Feb-19,125.17,125.23,124.4,124.69,7940000
26-Feb-19,125.33,125.62,125.05,125.58,5150000
25-Feb-19,125.78,125.9,125.23,125.37,4880000
22-Feb-19,125.53,125.95,125.39,125.5,5440000
21-Feb-19,126.15,126.22,125.05,125.05,8630000
20-Feb-19,127,127.21,126.31,126.48,8890000
19-Feb-19,125.98,126.79,125.93,126.7,15610000
15-Feb-19,124.59,125,124.18,124.8,12190000
14-Feb-19,123.84,124.2,123.53,124.06,6280000
13-Feb-19,123.84,124.55,123.31,123.37,7640000
12-Feb-19,123.96,124.03,123.61,123.86,4270000
11-Feb-19,123.19,123.82,123.19,123.6,4820000
8-Feb-19,124.05,124.33,123.98,124.21,4240000
7-Feb-19,123.8,123.95,123.44,123.74,5940000
6-Feb-19,124.16,124.19,123.4,123.44,6600000
5-Feb-19,124.29,124.42,124.05,124.28,6290000
4-Feb-19,123.99,124.29,123.82,123.96,6880000
1-Feb-19,124.89,125.05,124.37,124.5,12490000
31-Jan-19,125.18,125.23,124.62,124.75,10210000
30-Jan-19,123.91,125.07,123.7,124.69,12100000
29-Jan-19,123.71,124,123.46,123.98,11610000
28-Jan-19,122.75,123.29,122.72,123.29,8520000
25-Jan-19,122.02,122.91,122.02,122.86,11100000
24-Jan-19,121.16,121.36,120.92,121.09,5660000
23-Jan-19,120.96,121.54,120.86,121.28,5220000
22-Jan-19,121.18,121.5,120.9,121.45,7900000
18-Jan-19,121.23,121.52,121.02,121.02,10900000
17-Jan-19,122.03,122.26,121.81,122.11,8560000
16-Jan-19,122.04,122.44,122.02,122.27,6880000
15-Jan-19,122.28,122.38,121.62,121.88,7510000
14-Jan-19,122.15,122.24,121.87,122.09,6480000
11-Jan-19,121.74,122.05,121.66,121.8,8620000
10-Jan-19,121.98,122.18,121.57,121.59,6670000
9-Jan-19,121.45,122.33,121.44,122.31,10560000
8-Jan-19,121.15,121.71,121.06,121.53,7640000
7-Jan-19,122.16,122.22,121.57,121.86,7470000
4-Jan-19,121.32,121.6,120.69,121.44,13330000
3-Jan-19,121.78,122.46,121.73,122.43,15440000
2-Jan-19,121.35,121.75,120.88,121.33,12780000
31-Dec-18,120.98,121.26,120.83,121.25,8450000
28-Dec-18,120.8,121.08,120.72,121.06,6860000
27-Dec-18,120.57,120.89,120.14,120.57,11870000
26-Dec-18,120.62,121,119.57,119.66,14290000
24-Dec-18,119.57,120.14,119.57,120.02,9740000
21-Dec-18,119.19,119.25,118.57,118.72,13630000
20-Dec-18,119.11,119.74,118.68,119.24,18620000
19-Dec-18,118.24,118.96,117.4,117.43,13830000
18-Dec-18,117.85,118.2,117.81,118.15,7540000
17-Dec-18,117.37,118.03,117.35,117.87,8460000
14-Dec-18,116.63,117.3,116.58,117.06,7500000
13-Dec-18,117.54,117.62,117.26,117.53,4130000
12-Dec-18,117.7,117.95,117.61,117.79,4140000
11-Dec-18,117.67,117.89,117.35,117.54,6400000
10-Dec-18,117.7,117.94,117.42,117.68,8120000
7-Dec-18,117.62,118.23,117.54,118.09,10400000
6-Dec-18,117.38,117.69,116.92,117.14,9270000
4-Dec-18,117.37,117.39,116.93,117.12,7190000
3-Dec-18,116.6,116.77,116.3,116.41,8460000
30-Nov-18,115.42,115.66,115.04,115.54,8170000
29-Nov-18,115.97,116.24,115.56,115.74,6480000
28-Nov-18,114.76,116.07,114.59,115.38,13790000
27-Nov-18,115.55,115.63,114.6,114.95,9670000
26-Nov-18,115.84,115.87,115.53,115.64,4020000
23-Nov-18,115.76,115.88,115.58,115.77,3730000
21-Nov-18,115.94,116.35,115.86,115.86,8830000
20-Nov-18,115.94,115.95,115.37,115.67,9080000
19-Nov-18,115.45,115.92,115.37,115.67,8510000
16-Nov-18,115.83,115.88,115.37,115.62,8580000
15-Nov-18,114.83,114.99,114.56,114.77,8910000
14-Nov-18,113.53,115.06,113.46,114.64,13950000
13-Nov-18,113.72,113.93,113.42,113.7,9310000
12-Nov-18,114.01,114.05,113.58,113.66,7500000
9-Nov-18,114.6,114.75,114.14,114.48,14160000
8-Nov-18,115.77,116.15,115.5,115.78,7640000
7-Nov-18,116.26,116.34,115.9,116.03,8390000
6-Nov-18,116.44,116.53,115.74,116.04,7270000
5-Nov-18,116.28,116.67,116.23,116.37,6290000
2-Nov-18,116.61,116.98,116.39,116.65,8800000
