Date,High,Low,Open,Close,Volume,Adj Close
2017-01-03,89,88.08000183,89,88.59999847,8789400,88.59999847
2017-01-04,90.88999939,88.58000183,88.98500061,90.51000214,11490200,90.51000214
2017-01-05,94.80999756,91.63999939,91.91000366,94.37000275,16821500,94.37000275
2017-01-06,94.5,93,94.40000153,93.88999939,7639800,93.88999939
2017-01-09,95.65000153,93.30999756,94.16000366,94.72000122,10829500,94.72000122
2017-01-10,97.90399933,95.55000305,96.40000153,96.75,14780600,96.75
2017-01-11,97.44999695,95.59999847,96.91999817,96.94000244,8735900,96.94000244
2017-01-12,96.84999847,94.80000305,96.84999847,95.90000153,8424700,95.90000153
2017-01-13,97.37999725,95.76000214,95.94999695,96.26999664,10701100,96.26999664
2017-01-17,96.58999634,95,96.31999969,96.12000275,6342400,96.12000275
2017-01-18,96.26999664,95.26000214,96.26999664,96,6610700,96
2017-01-19,96.69999695,95.58000183,96.41999817,96.16999817,7090000,96.16999817
2017-01-20,97.15000153,95.67099762,96.44999695,96.05999756,9685800,96.05999756
2017-01-23,98.66999817,96.26000214,96.48000336,98.41000366,14090300,98.41000366
2017-01-24,103.1900024,99.94000244,103.1500015,101.4300003,37181500,101.4300003
2017-01-25,104.2699966,101.9000015,102.4599991,104.0599976,23322800,104.0599976
2017-01-26,104.5699997,102.1699982,103.9199982,102.75,12504800,102.75
2017-01-27,102.6999969,101.2900009,102.25,102.0699997,8031000,102.0699997
2017-01-30,101.4599991,100.0899963,101.1999969,101.0199966,8619800,101.0199966
2017-01-31,102.0899963,100.0599976,100.2399979,101.3099976,7530000,101.3099976
2017-02-01,102.3799973,100.8700027,102.0699997,101.5699997,5736400,101.5699997
2017-02-02,101.4700012,100.5599976,101.2799988,100.8399963,5371600,100.8399963
2017-02-03,101.5599976,100.3000031,101.5,100.3899994,6197600,100.3899994
2017-02-06,101.7060013,100.0199966,100.1699982,100.9000015,6866700,100.9000015
2017-02-07,101.5999985,100.5,101.0400009,100.8300018,5655600,100.8300018
2017-02-08,103.9899979,101.1600037,101.5500031,103.5699997,10178500,103.5699997
2017-02-09,104.1800003,102.5599976,103.5699997,103.3399963,8435800,103.3399963
2017-02-10,103.9400024,102.3099976,103.8799973,102.3600006,7680300,102.3600006
2017-02-13,104.4400024,102.6200027,102.8199997,103.0999985,9729000,103.0999985
2017-02-14,103.5999985,100.8960037,103.1399994,101.5899963,10240700,101.5899963
2017-02-15,102.1299973,100.1100006,102.0599976,101.5500031,12384400,101.5500031
2017-02-16,102.0999985,100.5,101.8600006,100.8199997,7464000,100.8199997
2017-02-17,101.7300034,100.3000031,100.6900024,100.5199966,8258200,100.5199966
2017-02-21,102.5400009,100.9100037,101.0299988,102.1200027,8189600,102.1200027
2017-02-22,105.1999969,102.4199982,102.4800034,104.1999969,15779400,104.1999969
2017-02-23,104.8600006,101.8199997,104.7200012,102.4599991,10095600,102.4599991
2017-02-24,103,101.3000031,101.3899994,102.9499969,7356600,102.9499969
2017-02-27,103.8249969,102.2200012,102.5,103.5999985,6865900,103.5999985
2017-02-28,103.9899979,102.0299988,103.8899994,102.9000015,8017500,102.9000015
2017-03-01,104.9899979,103.2099991,103.6800003,104.0400009,10331800,104.0400009
2017-03-02,104.5800018,102.7699966,103.8000031,103.1900024,7983000,103.1900024
2017-03-03,103.4199982,102.4400024,102.9899979,103.3099976,6320900,103.3099976
2017-03-06,103.25,102.0999985,102.7600021,102.3099976,6290700,102.3099976
2017-03-07,103.3079987,102.1100006,102.3000031,102.6299973,4985200,102.6299973
2017-03-08,104.2900009,102.5400009,102.6299973,103.2200012,7066700,103.2200012
2017-03-09,103.75,102.7600021,102.9700012,103.2399979,4523600,103.2399979
2017-03-10,103.6999969,102.6299973,103.4300003,103.3899994,4120700,103.3899994
2017-03-13,106.25,103.4700012,103.5199966,105.1800003,16118900,105.1800003
2017-03-14,106,103.8219986,104.6100006,104.25,7748400,104.25
2017-03-15,104.4899979,102.5999985,104.3700027,103.6900024,11695200,103.6900024
2017-03-16,105.6500015,104.3010025,105.25,105.6299973,12445200,105.6299973
2017-03-17,106.5,104.8600006,105.1699982,105.6100006,8778900,105.6100006
2017-03-20,108.1999969,105.9400024,106.2300034,107.25,12447900,107.25
2017-03-21,108.6999969,104.6999969,108.4599991,105.0899963,13877700,105.0899963
2017-03-22,106.1200027,103.9800034,104.6399994,106.0899963,7153000,106.0899963
2017-03-23,108.8300018,106.4400024,106.9499969,108.25,13410800,108.25
2017-03-24,109.1299973,107.2300034,108.4000015,108.0400009,7578400,108.0400009
2017-03-27,108.1900024,106.5100021,106.6500015,108.0800018,7709400,108.0800018
2017-03-28,108.9499969,107.4599991,108.2300034,107.8000031,6472000,107.8000031
2017-03-29,109.7399979,107.6900024,107.9700012,109.5100021,8788700,109.5100021
2017-03-30,110.4499969,108.6600037,109.7289963,108.8499985,10592500,108.8499985
2017-03-31,109.1190033,107.7799988,108.5,107.8300018,9002800,107.8300018
2017-04-03,109.4700012,107.5199966,108.8499985,108.0899963,8391400,108.0899963
2017-04-04,108.2600021,106.8799973,107.8700027,107.5199966,6480100,107.5199966
2017-04-05,108.8199997,107.3199997,108.3600006,107.4400024,8205400,107.4400024
2017-04-06,108.4199982,107.1500015,107.5899963,108.0400009,5211100,108.0400009
2017-04-07,109.0699997,106.7600021,107.8799973,108.9899979,8354900,108.9899979
2017-04-10,111.8799973,108.8399963,109,111.6999969,14798600,111.6999969
2017-04-11,111.7900009,109.4599991,111.4000015,110.4400024,10012100,110.4400024
2017-04-12,111.6999969,110.3099976,110.5,110.6299973,8099800,110.6299973
2017-04-13,111.4499969,109.8199997,110.7200012,110.2099991,6857000,110.2099991
2017-04-17,111.8700027,110.3000031,110.9100037,111.7600021,7128100,111.7600021
2017-04-18,112.1999969,110.8669968,111.1999969,111.2300034,8305100,111.2300034
2017-04-19,112.1999969,110.5699997,111.9899979,110.7600021,9603800,110.7600021
2017-04-20,113.5999985,111.4800034,111.5299988,112.9599991,13773500,112.9599991
2017-04-21,113.1699982,112.3000031,112.8000031,113.1100006,8968300,113.1100006
2017-04-24,115.1600037,114.0199966,114.0400009,114.8600006,13386600,114.8600006
2017-04-25,115.8199997,114.8000031,115.5400009,115.4800034,11434600,115.4800034
2017-04-26,115.75,114.6220016,115.3700027,114.9700012,6678800,114.9700012
2017-04-27,115.9599991,114.8300018,115,115.4300003,9441500,115.4300003
2017-04-28,115.9899979,115,115.9000015,115.5,6984900,115.5
2017-05-01,117.2399979,115.5,115.6299973,116.6800003,7332100,116.6800003
2017-05-02,118.6900024,117,117.0699997,118.0899963,10048200,118.0899963
2017-05-03,118,115.1200027,117.9499969,116.5699997,10591100,116.5699997
2017-05-04,116.4100037,115.1500015,115.9400024,115.8600006,6977800,115.8600006
2017-05-05,116.1500015,114.8000031,116.0500031,116.0400009,7099400,116.0400009
2017-05-08,117.5100021,116.1999969,116.9000015,116.8600006,6461900,116.8600006
