Date,Open,High,Low,Close,Volume
8-Jan-18,61.61,61.97,61.34,61.73,616470
9-Jan-18,61.92,63.48,61.8,62.96,844720
10-Jan-18,63.41,63.67,63.09,63.57,697840
11-Jan-18,63.5,64.77,63.43,63.8,876640
12-Jan-18,63.57,64.5,63.06,64.3,678730
16-Jan-18,64.43,64.89,63.39,63.73,867770
17-Jan-18,63.89,64.17,63.31,63.97,444380
18-Jan-18,64.07,64.35,63.47,63.95,204500
19-Jan-18,63.74,63.77,62.85,63.37,142710
22-Jan-18,63.61,64.14,63.17,63.49,40060
23-Jan-18,63.88,64.88,63.7,64.47,662460
24-Jan-18,64.42,66.05,64.34,65.61,887020
25-Jan-18,65.88,66.66,65.08,65.51,771760
26-Jan-18,65.25,66.35,64.91,66.14,678190
29-Jan-18,66.18,66.46,64.98,65.56,656170
30-Jan-18,65.53,65.56,63.89,64.5,688380
31-Jan-18,64.03,64.94,63.67,64.73,613260
1-Feb-18,64.76,66.25,64.63,65.8,685750
2-Feb-18,65.99,66.3,64.47,65.45,857570
5-Feb-18,65.1,65.4,63.42,64.15,891060
6-Feb-18,63.43,64.29,63.12,63.39,797810
7-Feb-18,63.92,64.18,61.25,61.79,1030000
8-Feb-18,61.7,62.09,60.27,61.15,929580
9-Feb-18,60.43,60.77,58.07,59.2,933310
12-Feb-18,59.12,60.83,59.1,59.29,736920
13-Feb-18,59.35,59.73,58.39,59.19,580600
14-Feb-18,58.98,60.9,58.2,60.6,650320
15-Feb-18,60.71,61.64,59.72,61.34,340400
16-Feb-18,61.45,61.99,60.88,61.68,181180
20-Feb-18,61.63,62.74,61.58,61.9,50210
21-Feb-18,61.63,61.86,60.92,61.68,466920
22-Feb-18,61.34,63.09,60.75,62.77,592600
23-Feb-18,62.6,63.73,62.33,63.55,460600
26-Feb-18,63.6,64.24,63.06,63.91,469850
27-Feb-18,64.06,64.08,62.64,63.01,562670
28-Feb-18,62.79,63.44,61.36,61.64,768410
1-Mar-18,61.55,61.83,60.18,60.99,812510
2-Mar-18,61.34,61.6,60.13,61.25,613510
5-Mar-18,61.55,62.79,61.1,62.57,599270
6-Mar-18,62.58,63.28,62.17,62.6,634950
7-Mar-18,62.3,62.58,60.58,61.15,879120
8-Mar-18,61.33,61.4,59.95,60.12,720510
9-Mar-18,60.27,62.18,60.14,62.04,659720
12-Mar-18,62.1,62.33,60.67,61.36,537990
13-Mar-18,61.37,61.97,60.27,60.71,747740
14-Mar-18,60.87,61.33,60.11,60.96,665020
15-Mar-18,60.95,61.54,60.82,61.19,430200
16-Mar-18,61.19,62.54,61.08,62.34,202490
19-Mar-18,62.23,62.35,61.36,62.06,115960
20-Mar-18,62.1,63.81,62.08,63.4,36060
21-Mar-18,63.72,65.55,63.58,65.17,763770
22-Mar-18,65.5,65.74,64.14,64.3,689170
23-Mar-18,64.28,66.0,64.11,65.88,752990
26-Mar-18,65.9,66.55,65.08,65.55,585900
27-Mar-18,65.53,66.41,64.53,65.25,670810
28-Mar-18,64.7,65.13,63.72,64.38,697680
29-Mar-18,64.69,65.26,64.16,64.94,562820
2-Apr-18,64.91,65.42,62.8,63.01,582740
3-Apr-18,62.89,63.86,62.86,63.51,527290
4-Apr-18,63.59,63.64,62.06,63.37,760600
5-Apr-18,63.6,64.12,63.07,63.54,588600
6-Apr-18,63.7,63.79,61.81,62.06,753260
9-Apr-18,62.0,63.61,61.93,63.42,655830
10-Apr-18,63.3,65.86,63.2,65.51,840280
11-Apr-18,65.59,67.45,65.15,66.82,963020
12-Apr-18,66.75,67.33,66.0,67.07,687470
13-Apr-18,67.18,67.76,66.7,67.39,624200
16-Apr-18,67.24,67.74,66.13,66.22,560080
17-Apr-18,66.42,66.75,65.56,66.52,486080
18-Apr-18,66.68,68.91,66.56,68.47,221660
19-Apr-18,68.75,69.56,67.98,68.29,125990
20-Apr-18,68.26,68.62,67.5,68.38,32950
23-Apr-18,68.22,69.03,67.14,68.64,740940
24-Apr-18,68.95,69.38,67.54,67.7,832300
25-Apr-18,67.75,68.18,67.11,68.05,764050
26-Apr-18,68.03,68.78,67.71,68.19,660550
27-Apr-18,68.21,68.36,67.64,68.1,542550
30-Apr-18,68.15,69.34,67.17,68.57,755190
1-May-18,68.56,68.9,66.85,67.25,694770
2-May-18,67.49,68.14,66.92,67.93,789370
