Date,Open,High,Low,Close,Volume
8-Jan-18,125.2,125.32,124.9,125.31,3570000
9-Jan-18,124.49,124.86,124.23,124.73,9150000
10-Jan-18,125.17,125.31,124.72,125.03,14810000
11-Jan-18,125.37,125.66,125.25,125.44,5990000
12-Jan-18,126.01,127.13,125.81,126.96,9260000
16-Jan-18,126.6,127.18,126.4,127.17,8080000
17-Jan-18,126.77,127.22,125.9,126.14,10130000
18-Jan-18,126.13,126.52,125.8,125.86,6290000
19-Jan-18,126.57,126.73,126.41,126.42,8770000
22-Jan-18,126.51,126.75,126.28,126.65,4890000
23-Jan-18,126.53,127.35,126.34,127.28,6190000
24-Jan-18,128.39,129.26,128.23,128.83,11830000
25-Jan-18,128.69,129.51,127.36,127.97,15220000
26-Jan-18,128.24,128.52,127.97,128.07,7830000
29-Jan-18,127.58,127.63,126.92,127.35,6960000
30-Jan-18,127.91,127.92,126.74,126.8,9740000
31-Jan-18,127.45,127.85,126.4,127.65,13420000
1-Feb-18,127.18,128.15,127.08,128.07,10850000
2-Feb-18,126.81,126.85,125.95,126.39,16790000
5-Feb-18,126.82,127.31,126.44,126.71,13600000
6-Feb-18,126.54,126.55,125.22,125.38,17670000
7-Feb-18,125.48,125.77,124.41,124.79,8560000
8-Feb-18,124.92,125.44,124.51,124.98,7340000
9-Feb-18,124.65,125.14,124.39,124.77,14140000
12-Feb-18,125.19,125.82,125.11,125.37,6980000
13-Feb-18,125.67,126.18,125.52,126.08,5320000
14-Feb-18,126.47,128.59,126.29,128.23,16420000
15-Feb-18,128.43,128.57,127.94,128.38,7280000
16-Feb-18,128.3,128.7,127.57,127.96,7960000
20-Feb-18,127.28,127.4,126.04,126.24,11150000
21-Feb-18,126.36,126.76,125.44,125.66,7910000
22-Feb-18,125.92,126.37,125.88,126.3,5350000
23-Feb-18,126.06,126.3,125.85,126.14,4240000
26-Feb-18,126.45,126.62,126.18,126.45,3190000
27-Feb-18,126.06,126.15,124.59,125.13,7080000
28-Feb-18,125.09,125.46,124.81,125.0,4530000
1-Mar-18,124.15,125.31,123.58,124.72,12910000
2-Mar-18,125.67,125.69,124.97,125.39,9990000
5-Mar-18,125.35,125.48,124.96,125.18,5780000
6-Mar-18,126.2,126.96,126.13,126.53,8680000
7-Mar-18,126.22,126.29,125.42,125.72,5160000
8-Mar-18,125.69,125.7,125.12,125.42,3470000
9-Mar-18,124.94,125.69,124.78,125.54,5070000
12-Mar-18,125.04,125.57,124.84,125.54,2880000
13-Mar-18,125.67,125.99,125.05,125.78,4800000
14-Mar-18,125.49,125.76,125.34,125.7,3780000
15-Mar-18,125.12,125.21,124.72,124.9,6130000
16-Mar-18,124.84,124.87,124.21,124.6,7400000
19-Mar-18,124.57,125.16,124.42,124.87,4340000
20-Mar-18,124.41,124.55,123.96,124.31,3400000
21-Mar-18,125.4,126.76,125.03,126.48,12530000
22-Mar-18,126.09,126.34,125.64,125.98,5300000
23-Mar-18,127.82,128.06,127.41,127.61,12030000
26-Mar-18,128.05,128.58,128.01,128.28,6170000
27-Mar-18,127.23,127.62,127.05,127.49,6180000
28-Mar-18,126.48,126.61,125.51,125.73,10250000
29-Mar-18,125.42,125.81,125.31,125.79,7120000
2-Apr-18,126.65,127.54,126.38,127.26,11420000
3-Apr-18,126.54,126.59,126.01,126.3,6080000
4-Apr-18,127.5,127.53,126.32,126.45,7490000
5-Apr-18,125.45,126.08,125.42,125.8,5330000
6-Apr-18,126.57,126.6,126.12,126.39,6120000
9-Apr-18,126.45,126.86,126.23,126.82,4190000
10-Apr-18,127.02,127.31,126.67,127.12,5400000
11-Apr-18,128.09,129.47,127.78,128.11,12350000
12-Apr-18,127.25,127.34,126.47,126.62,8140000
13-Apr-18,127.07,127.75,127.03,127.45,6820000
16-Apr-18,127.74,128.05,127.57,127.63,4600000
17-Apr-18,127.02,127.78,127.0,127.75,4180000
18-Apr-18,128.32,128.54,127.75,127.85,6760000
19-Apr-18,127.81,127.88,127.13,127.6,8740000
20-Apr-18,126.69,126.97,126.55,126.63,10400000
23-Apr-18,125.62,125.76,125.34,125.62,6920000
24-Apr-18,125.78,126.34,125.67,126.23,4730000
25-Apr-18,125.23,125.51,125.06,125.41,5990000
26-Apr-18,125.54,125.57,124.69,124.97,7520000
27-Apr-18,125.2,125.62,125.17,125.5,5650000
30-Apr-18,124.41,125.2,124.19,124.59,9830000
1-May-18,123.9,123.98,123.39,123.71,7550000
2-May-18,123.9,124.54,123.58,123.65,7610000
3-May-18,124.66,124.76,124.24,124.28,4860000
4-May-18,124.1,124.65,124.0,124.54,5880000
7-May-18,124.5,124.7,124.3,124.57,3400000
8-May-18,124.14,124.95,123.79,124.59,5550000
9-May-18,124.45,124.87,124.24,124.33,4410000
10-May-18,125.22,125.37,124.75,125.18,5220000
11-May-18,125.57,125.59,124.94,125.0,4300000
14-May-18,125.16,125.21,124.44,124.49,3750000
15-May-18,122.82,122.82,122.13,122.48,10910000
16-May-18,122.38,122.61,122.03,122.29,4940000
17-May-18,122.23,122.43,122.04,122.36,7780000
18-May-18,122.05,122.65,122.01,122.41,6840000
21-May-18,122.16,122.53,121.97,122.48,4130000
22-May-18,122.7,122.74,122.34,122.41,4580000
23-May-18,122.14,122.74,122.11,122.54,7010000
24-May-18,123.1,123.82,123.08,123.59,8850000
25-May-18,123.66,123.7,123.21,123.21,7920000
29-May-18,122.84,123.64,122.66,123.19,9010000
30-May-18,123.17,123.61,123.17,123.37,4570000
31-May-18,123.26,123.78,123.1,123.1,7860000
1-Jun-18,122.58,123.09,122.44,122.49,8060000
4-Jun-18,122.85,122.93,122.37,122.37,4350000
5-Jun-18,122.55,123.23,122.28,122.85,6860000
6-Jun-18,123.08,123.35,122.63,122.92,4080000
7-Jun-18,122.96,123.14,122.69,122.86,3700000
8-Jun-18,123.08,123.12,122.91,123.01,3870000
11-Jun-18,123.1,123.42,123.02,123.23,3200000
12-Jun-18,122.95,123.18,122.64,122.82,7280000
13-Jun-18,122.84,123.34,122.47,123.19,5870000
14-Jun-18,123.63,123.86,123.32,123.38,8020000
15-Jun-18,122.18,122.2,120.83,121.34,14540000
18-Jun-18,121.35,121.44,120.99,121.11,3850000
19-Jun-18,120.81,121.03,120.58,120.8,4930000
20-Jun-18,120.79,120.81,120.16,120.26,4550000
21-Jun-18,119.92,120.32,119.82,120.05,5680000
22-Jun-18,120.21,120.4,120.1,120.34,4520000
25-Jun-18,120.0,120.23,119.83,119.89,9300000
26-Jun-18,119.28,119.59,119.09,119.26,8680000
27-Jun-18,118.96,119.05,118.48,118.58,6480000
28-Jun-18,118.59,118.67,118.01,118.22,7760000
29-Jun-18,118.43,118.94,118.26,118.65,8000000
